"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 28 16:48:51 CST 2019","Thu Nov 28 16:48:51 CST 2019","185","TestCase","test_course","TestCourseApi","","","test_GetCourseListByRootId[487377109979759325]",""
"passed","Thu Nov 28 16:48:51 CST 2019","Thu Nov 28 16:48:51 CST 2019","181","TestCase","test_getInfo","TestGetInfo","","","test_getUserInfo[18682115996]",""
"passed","Thu Nov 28 16:48:51 CST 2019","Thu Nov 28 16:48:51 CST 2019","187","TestCase","test_course","TestCourseApi","","","test_GetCourseListByRootId[487378162112529117]",""
"passed","Thu Nov 28 16:48:50 CST 2019","Thu Nov 28 16:48:51 CST 2019","295","TestCase","test_course","TestCourseApi","","","test_GetHeadlineLis",""
"passed","Thu Nov 28 16:48:51 CST 2019","Thu Nov 28 16:48:51 CST 2019","183","TestCase","test_course","TestCourseApi","","","test_GetCourseListByRootId[487378079702844125]",""
